block_number,timestamp,tx_count,gas_used,gas_limit
22,1768495391,76,4165162,30000000
23,1768495405,72,3707134,30000000
24,1768495418,71,3429300,30000000
25,1768495432,65,3214106,30000000
26,1768495445,61,2429338,30000000
27,1768495458,57,2189112,30000000
28,1768495471,56,2128918,30000000
29,1768495483,57,2297796,30000000
30,1768495496,51,2118894,30000000
31,1768495509,55,2504324,30000000
32,1768495522,69,3272514,30000000
33,1768495535,67,3116138,30000000
34,1768495549,69,3562956,30000000
35,1768495562,77,3898188,30000000
36,1768495576,74,4117468,30000000
37,1768495590,77,4152402,30000000
38,1768495604,79,4236222,30000000
39,1768495618,78,4139938,30000000
40,1768495632,78,4103666,30000000
41,1768495646,82,4380268,30000000
42,1768495660,74,3754640,30000000
43,1768495673,68,3648382,30000000
44,1768495687,71,3392874,30000000
45,1768495700,64,3226560,30000000
46,1768495714,73,3367736,30000000
47,1768495727,64,2827202,30000000
48,1768495740,63,2876062,30000000
49,1768495753,58,2720966,30000000
50,1768495767,59,2853670,30000000
51,1768495780,62,2634320,30000000
52,1768495793,70,3332596,30000000
53,1768495806,67,3188692,30000000
54,1768495819,73,3694394,30000000
55,1768495833,73,3658034,30000000
56,1768495847,71,3683080,30000000
57,1768495860,75,3887154,30000000
58,1768495874,75,3996100,30000000
59,1768495888,76,4128670,30000000
60,1768495902,78,3958468,30000000
61,1768495916,76,3838374,30000000
62,1768495929,72,3670642,30000000
63,1768495943,74,3754552,30000000
64,1768495957,64,3153970,30000000
65,1768495970,72,3634432,30000000
66,1768495984,68,3248950,30000000
67,1768495997,72,3416550,30000000
68,1768496010,67,3225196,30000000
69,1768496024,64,3153884,30000000
70,1768496037,69,3417902,30000000
71,1768496050,66,3165048,30000000
72,1768496064,70,3477834,30000000
73,1768496077,67,3043616,30000000
74,1768496090,72,3598062,30000000
75,1768496104,68,3394126,30000000
76,1768496117,75,3741956,30000000
77,1768496131,69,3417746,30000000
78,1768496145,69,3563122,30000000
79,1768496158,74,3718212,30000000
80,1768496172,71,3610648,30000000
81,1768496185,69,3345290,30000000
82,1768496199,69,3526782,30000000
83,1768496212,75,3923492,30000000
84,1768496226,70,3477892,30000000
85,1768496239,72,3452788,30000000
86,1768496253,69,3308996,30000000
87,1768496266,81,3848146,30000000
88,1768496280,73,3621840,30000000
89,1768496293,70,3514262,30000000
90,1768496307,70,3732104,30000000
91,1768496321,68,3466692,30000000
92,1768496334,72,3815862,30000000
93,1768496348,71,3320132,30000000
94,1768496361,81,3666672,30000000
95,1768496374,75,3959840,30000000
96,1768496388,73,3767038,30000000
97,1768496402,65,3286572,30000000
98,1768496415,73,3876008,30000000
99,1768496429,74,3536676,30000000
100,1768496443,76,3802032,30000000
101,1768496456,73,3549360,30000000
102,1768496470,75,3778282,30000000
103,1768496483,79,3909632,30000000
104,1768496497,80,4187608,30000000
105,1768496511,68,3503240,30000000
106,1768496524,56,2637300,30000000
107,1768496537,45,2158154,30000000
108,1768496550,31,1498846,30000000
109,1768496563,21,716796,30000000
110,1768496575,6,287760,30000000
111,1768496587,4,240232,30000000
112,1768496599,4,131350,30000000
113,1768496611,1,23764,30000000
